,weight
"BQB,X,X,WK,X,WQB,X,WR,X,X,BH,X,X,WH,X,X,WP,BKB,X,X,WP,X,BP,WP,X,X,X,X,BP,X,X,X,X,X,X,X,X,BP,X,BP,WP,BK,X,WP,X,X,WH,X,X,X,X,X,BQ,BR,X,X,WR,BH,X,X,X,X,X,X",-16.35079908265578
"BQB,X,X,WK,X,WQB,X,WR,X,X,BH,X,X,X,X,X,WP,BKB,X,WH,WP,X,BP,WP,X,X,X,X,BP,X,X,X,X,X,X,X,X,BP,X,BP,WP,BK,X,WP,X,X,WH,X,X,X,X,X,BQ,BR,X,X,WR,BH,X,X,X,X,X,X",-14.864362802414346
"BQB,X,X,WK,X,WQB,X,WR,X,X,BH,X,X,X,X,X,WP,BKB,X,WH,WP,X,BP,WP,X,X,X,X,BP,X,X,X,BK,X,X,X,X,BP,X,BP,WP,X,X,WP,X,X,WH,X,X,X,X,X,BQ,BR,X,X,WR,BH,X,X,X,X,X,X",-13.51305709310395
"BQB,X,X,X,X,WQB,X,WR,X,X,BH,WK,X,X,X,X,WP,BKB,X,WH,WP,X,BP,WP,X,X,X,X,BP,X,X,X,BK,X,X,X,X,BP,X,BP,WP,X,X,WP,X,X,WH,X,X,X,X,X,BQ,BR,X,X,WR,BH,X,X,X,X,X,X",-12.284597357367225
"X,X,X,X,X,WQB,X,WR,X,X,BH,WK,X,X,X,X,WP,BKB,X,WH,WP,X,BP,WP,X,X,X,X,BP,X,X,X,BK,X,X,X,X,BP,X,BP,WP,X,X,WP,X,X,WH,X,X,X,X,X,BQ,BR,BQB,X,WR,BH,X,X,X,X,X,X",-11.167815779424751
"X,X,X,X,X,WQB,X,WR,X,X,BH,WK,X,X,X,X,WP,BKB,X,WH,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,X,X,X,X,BP,X,BP,WP,X,X,WP,X,X,X,X,X,X,X,X,BQ,BR,BQB,X,WR,BH,X,X,X,X,X,X",-10.152559799477043
"X,X,X,X,X,WQB,X,WR,X,X,BH,WK,X,X,X,X,WP,X,X,WH,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,X,X,X,X,BP,X,BP,WP,X,X,WP,BKB,X,X,X,X,X,X,X,BQ,BR,BQB,X,WR,BH,X,X,X,X,X,X",-9.229599817706404
"X,X,WK,X,X,WQB,X,WR,X,X,BH,X,X,X,X,X,WP,X,X,WH,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,X,X,X,X,BP,X,BP,WP,X,X,WP,BKB,X,X,X,X,X,X,X,BQ,BR,BQB,X,WR,BH,X,X,X,X,X,X",-8.390545288824002
"X,X,WK,X,X,WQB,X,WR,BKB,X,BH,X,X,X,X,X,WP,X,X,WH,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,X,X,X,X,BP,X,BP,WP,X,X,WP,X,X,X,X,X,X,X,X,BQ,BR,BQB,X,WR,BH,X,X,X,X,X,X",-7.627768444385456
"X,X,WK,X,X,WQB,X,WR,BKB,WH,BH,X,X,X,X,X,WP,X,X,X,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,X,X,X,X,BP,X,BP,WP,X,X,WP,X,X,X,X,X,X,X,X,BQ,BR,BQB,X,WR,BH,X,X,X,X,X,X",-6.9343349494413244
"X,X,WK,X,X,WQB,X,WR,BKB,WH,BH,X,X,X,X,X,WP,X,X,X,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,X,X,X,X,BP,X,BP,WP,X,X,WP,X,X,X,X,X,X,X,X,BQ,BR,X,X,WR,BH,X,X,X,BQB,X,X",-6.303940863128475
"X,X,WK,X,X,WQB,WR,X,BKB,WH,BH,X,X,X,X,X,WP,X,X,X,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,X,X,X,X,BP,X,BP,WP,X,X,WP,X,X,X,X,X,X,X,X,BQ,BR,X,X,WR,BH,X,X,X,BQB,X,X",-5.730855330116795
"X,X,WK,X,X,WQB,WR,X,BKB,WH,BH,X,X,X,X,X,WP,X,X,X,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,X,X,X,X,BP,X,BP,WP,X,X,WP,X,BQ,X,X,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,X",-5.209868481924358
"X,X,WK,WH,X,WQB,WR,X,BKB,X,BH,X,X,X,X,X,WP,X,X,X,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,X,X,X,X,BP,X,BP,WP,X,X,WP,X,BQ,X,X,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,X",-4.736244074476691
"X,X,WK,WH,X,WQB,WR,X,BKB,X,BH,X,X,X,X,X,WP,X,X,X,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,X,X,X,X,BP,X,BP,WP,X,X,WP,X,WQ,X,BQ,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,X",-4.305676431342445
"X,X,WK,WH,X,WQB,WR,X,BKB,X,BH,X,X,X,X,X,WP,X,X,X,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,BP,BP,X,X,WP,X,WQ,X,BQ,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,X",-3.9142513012204048
"X,X,WK,WH,BH,WQB,WR,X,BKB,X,WR,X,X,X,X,X,WP,X,X,X,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,BP,BP,X,X,WP,X,WQ,X,BQ,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,X",-3.558410273836732
"X,X,WK,WH,BH,WQB,WR,X,BKB,WQ,WR,X,X,X,X,X,WP,X,X,X,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,BP,BP,X,X,WP,X,X,X,BQ,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,X",-3.2349184307606644
"X,X,WK,WH,BH,WQB,WR,X,X,WQ,WR,X,X,X,X,X,WP,X,X,X,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,WP,X,BKB,X,BP,X,BP,BP,X,X,WP,X,X,X,BQ,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,X",-2.940834937055149
"X,X,WK,X,BH,WQB,WR,X,X,WQ,WR,X,X,X,X,X,WP,X,WH,X,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,WP,X,BKB,X,BP,X,BP,BP,X,X,WP,X,X,X,BQ,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,X",-2.673486306413772
"X,X,WK,X,BH,WQB,WR,X,X,WQ,WR,X,X,X,X,X,WP,X,WH,X,WP,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,BP,BP,X,X,WP,BKB,X,X,BQ,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,X",-2.4304420967397924
"X,X,WK,X,BH,WQB,WR,X,X,WQ,WR,X,WP,X,X,X,WP,X,WH,X,X,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,BP,BP,X,X,WP,BKB,X,X,BQ,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,X",-2.209492815217993
"X,X,WK,X,BH,WQB,WR,X,X,WQ,WR,X,WP,X,X,X,WP,X,WH,X,X,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,BP,BP,X,X,WP,BKB,X,X,X,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,BQ",-2.0086298320163567
"X,X,WK,X,BH,WQB,WR,X,X,WQ,WR,X,WP,X,X,X,WP,X,WH,X,X,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,WP,WP,X,X,BP,X,BP,BP,X,X,BP,BKB,X,X,X,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,BQ",-1.8260271200148697
"X,X,WK,X,X,WQB,WR,X,X,WQ,WR,X,WP,X,BH,X,WP,X,WH,X,X,X,BP,WP,X,X,X,X,BP,X,X,WH,BK,WP,WP,X,X,BP,X,BP,BP,X,X,BP,BKB,X,X,X,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,BQ",-1.6600246545589723
"X,X,WK,X,X,WQB,WR,X,X,WQ,WR,X,WP,X,BH,X,WP,X,WH,X,X,X,BP,WP,X,X,WP,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,BP,BP,X,X,BP,BKB,X,X,X,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,BQ",-1.5091133223263384
"X,X,WK,X,X,WQB,WR,X,X,WQ,WR,X,WP,X,BH,X,WP,X,WH,X,X,X,BP,WP,X,X,WP,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,X,BP,X,X,BP,BKB,X,X,BP,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,BQ",-1.371921202114853
"X,X,X,X,X,WQB,WR,X,X,WQ,WR,WK,WP,X,BH,X,WP,X,WH,X,X,X,BP,WP,X,X,WP,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,X,BP,X,X,BP,BKB,X,X,BP,X,X,X,X,X,BR,X,X,WR,BH,X,X,X,BQB,X,BQ",-1.2472010928316846
"X,X,X,X,X,WQB,WR,X,X,WQ,WR,WK,WP,X,BH,X,WP,X,WH,X,X,X,BP,WP,X,X,WP,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,X,BP,X,X,BP,BKB,X,X,BP,X,X,X,X,X,BR,X,BQ,WR,BH,X,X,X,BQB,X,X",-1.1338191753015314
"WQ,X,X,X,X,WQB,WR,X,X,X,WR,WK,WP,X,BH,X,WP,X,WH,X,X,X,BP,WP,X,X,WP,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,X,BP,X,X,BP,BKB,X,X,BP,X,X,X,X,X,BR,X,BQ,WR,BH,X,X,X,BQB,X,X",-1.0307447048195741
"WQ,X,X,X,X,WQB,WR,X,X,X,WR,WK,WP,X,BH,X,WP,X,WH,X,X,X,BP,WP,X,X,WP,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,X,BP,X,X,BP,X,X,X,BP,X,X,X,X,X,BR,X,BQ,WR,BH,BKB,X,X,BQB,X,X",-0.9370406407450672
"WQ,X,WK,X,X,WQB,WR,X,X,X,WR,X,WP,X,BH,X,WP,X,WH,X,X,X,BP,WP,X,X,WP,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,X,BP,X,X,BP,X,X,X,BP,X,X,X,X,X,BR,X,BQ,WR,BH,BKB,X,X,BQB,X,X",-0.8518551279500609
"WQ,X,WK,X,X,WQB,WR,X,X,X,WR,X,WP,X,BH,X,WP,X,WH,X,X,X,BP,WP,X,X,WP,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,X,BP,X,X,BP,X,X,X,BP,X,X,X,X,BR,X,X,BQ,WR,BH,BKB,X,X,BQB,X,X",-0.7744137526818735
"WQ,X,X,X,X,WQB,WR,X,X,X,WR,WK,WP,X,BH,X,WP,X,WH,X,X,X,BP,WP,X,X,WP,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,X,BP,X,X,BP,X,X,X,BP,X,X,X,X,BR,X,X,BQ,WR,BH,BKB,X,X,BQB,X,X",-0.7040125024380668
"WQ,X,X,X,X,WQB,WR,X,X,X,WR,WK,WP,X,BH,X,WP,X,WH,X,X,X,BP,WP,X,X,WP,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,X,X,X,X,BP,X,X,X,BP,BP,X,X,X,BR,X,X,BQ,WR,BH,BKB,X,X,BQB,X,X",-0.640011365852788
"X,X,X,X,WQ,WQB,WR,X,X,X,WR,WK,WP,X,BH,X,WP,X,WH,X,X,X,BP,WP,X,X,WP,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,X,X,X,X,BP,X,X,X,BP,BP,X,X,X,BR,X,X,BQ,WR,BH,BKB,X,X,BQB,X,X",-0.5818285144116253
"X,X,X,X,WQ,WQB,WR,X,X,X,WR,WK,WP,X,WP,X,WP,X,WH,X,BH,X,BP,WP,X,X,WP,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,X,X,X,X,BP,X,X,X,BP,BP,X,X,X,BR,X,X,BQ,WR,BH,BKB,X,X,BQB,X,X",-0.5289350131014775
"X,X,WK,X,WQ,WQB,WR,X,X,X,WR,X,WP,X,WP,X,WP,X,WH,X,BH,X,BP,WP,X,X,WP,X,BP,X,X,WH,BK,WP,X,X,X,BP,X,X,X,X,X,BP,X,X,X,BP,BP,X,X,X,BR,X,X,BQ,WR,BH,BKB,X,X,BQB,X,X",-0.48085001191043397
"X,X,WK,X,WQ,WQB,WR,X,X,X,WR,X,WP,X,WP,X,WP,X,WH,X,BH,X,WKB,WP,X,X,WP,X,BP,BP,X,WH,BK,WP,X,X,X,BP,X,X,X,X,X,BP,X,X,X,BP,BP,X,X,X,BR,X,X,BQ,WR,BH,BKB,X,X,BQB,X,X",-0.4371363744640309
"X,X,WK,X,WQ,WQB,WR,X,WR,X,X,X,WP,X,WP,X,WP,X,WH,X,BH,X,WKB,WP,X,X,WP,X,BP,BP,X,WH,BK,WP,X,X,X,BP,X,X,X,X,X,BP,X,X,X,BP,BP,X,X,X,BR,X,X,BQ,WR,BH,BKB,X,X,BQB,X,X",-0.39739670405820987
"X,X,WK,X,WQ,WQB,WR,X,WR,X,X,X,WP,X,WP,X,WP,X,WH,X,BH,X,WKB,WP,X,X,WP,X,BP,BP,X,WH,BK,WP,X,X,X,BP,X,X,X,X,X,BP,X,X,X,BP,BP,X,X,X,BR,X,BQB,BQ,WR,BH,BKB,X,X,X,X,X",-0.3612697309620089
"X,X,WK,X,WQ,WQB,WR,X,WR,X,X,X,WP,X,WP,X,WP,X,WH,X,BH,WH,WKB,WP,X,X,WP,X,BP,BP,X,X,BK,WP,X,X,X,BP,X,X,X,X,X,BP,X,X,X,BP,BP,X,X,X,BR,X,BQB,BQ,WR,BH,BKB,X,X,X,X,X",-0.3284270281472808
"X,X,WK,X,WQ,WQB,WR,X,WR,X,X,X,WP,X,WP,X,WP,X,WH,X,BH,WH,WKB,WP,X,X,WP,X,X,BP,X,X,BK,WP,X,X,BP,BP,X,X,X,X,X,BP,X,X,X,BP,BP,X,X,X,BR,X,BQB,BQ,WR,BH,BKB,X,X,X,X,X",-0.2985700255884371
"X,X,WK,X,WQ,WQB,WR,X,WR,X,X,X,WP,X,WP,X,WP,X,WH,X,BH,WH,X,WP,X,X,WP,X,X,BP,X,WKB,BK,WP,X,X,BP,BP,X,X,X,X,X,BP,X,X,X,BP,BP,X,X,X,BR,X,BQB,BQ,WR,BH,BKB,X,X,X,X,X",-0.2714272959894882
"X,X,WK,X,WQ,WQB,WR,X,WR,X,X,X,WP,X,WP,X,WP,X,WH,X,BH,WH,X,WP,X,X,WP,X,X,BP,X,WKB,BK,WP,X,X,BP,BP,X,X,X,X,X,BP,X,X,X,BP,BP,X,X,X,X,X,BQB,BQ,WR,BH,BKB,X,BR,X,X,X",-0.2467520872631711
"WR,X,WK,X,WQ,WQB,WR,X,X,X,X,X,WP,X,WP,X,WP,X,WH,X,BH,WH,X,WP,X,X,WP,X,X,BP,X,WKB,BK,WP,X,X,BP,BP,X,X,X,X,X,BP,X,X,X,BP,BP,X,X,X,X,X,BQB,BQ,WR,BH,BKB,X,BR,X,X,X",-0.22432007933015552
"WR,X,WK,X,WQ,WQB,WR,X,X,X,X,X,WP,X,WP,X,WP,X,WH,X,BH,WH,X,WP,X,X,WP,X,X,BP,X,WKB,BK,WP,X,X,BP,BP,X,X,X,X,X,X,X,X,X,BP,BP,X,X,BP,X,X,BQB,BQ,WR,BH,BKB,X,BR,X,X,X",-0.2039273448455959
"WR,X,WK,X,WQ,WQB,WR,X,X,X,X,X,WP,X,WP,X,WP,X,WH,X,BH,WH,X,WP,X,X,WP,X,X,BP,X,WKB,BK,WP,X,X,BP,BP,X,X,X,X,X,X,X,X,X,BP,BP,WP,X,BP,X,X,BQB,BQ,BR,BH,BKB,X,BR,X,X,X",-0.1853884953141781
"WR,X,WK,X,WQ,WQB,WR,X,X,X,X,X,WP,X,WP,X,WP,X,WH,X,BH,WH,X,WP,X,X,WP,X,X,BP,X,WKB,BK,WP,X,X,BP,BP,X,X,X,X,X,X,X,X,X,BP,BP,WP,X,BP,X,X,BQB,BQ,BR,BH,BKB,X,X,X,X,BR",-0.1685349957401619
"WR,X,X,WK,WQ,WQB,WR,X,X,X,X,X,WP,X,WP,X,WP,X,WH,X,BH,WH,X,WP,X,X,WP,X,X,BP,X,WKB,BK,WP,X,X,BP,BP,X,X,X,X,X,X,X,X,X,BP,BP,WP,X,BP,X,X,BQB,BQ,BR,BH,BKB,X,X,X,X,BR",-0.15321363249105627
"WR,X,X,WK,WQ,WQB,WR,X,X,X,X,X,WP,X,WP,X,WP,X,WH,X,X,WH,X,WP,X,X,WP,X,X,BP,BH,WKB,BK,WP,X,X,BP,BP,X,X,X,X,X,X,X,X,X,BP,BP,WP,X,BP,X,X,BQB,BQ,BR,BH,BKB,X,X,X,X,BR",-0.13928512044641478
"WR,X,X,WK,WQ,WQB,WR,X,X,X,X,X,WP,X,WP,X,WP,X,WH,X,X,WH,X,WP,X,X,WP,X,X,BP,BH,WKB,BK,WP,X,X,BP,BP,X,X,X,X,WP,X,X,X,X,BP,BP,BP,X,BP,X,X,BQB,BQ,BR,BH,BKB,X,X,X,X,BR",-0.12662283676946798
"WR,X,X,WK,WQ,WQB,WR,X,X,X,X,X,WP,X,WP,X,WP,X,WH,X,X,WH,X,WP,X,X,WP,X,X,BP,BH,WKB,X,WP,X,X,BP,BP,X,X,X,BK,WP,X,X,X,X,BP,BP,BP,X,BP,X,X,BQB,BQ,BR,BH,BKB,X,X,X,X,BR",-0.11511166979042542
