,weight
"WR,X,WKB,X,X,BKB,X,X,WH,WP,X,WP,WQ,X,X,X,WP,X,X,X,WP,X,X,X,BP,BP,WQB,WK,BP,WP,X,WR,X,X,X,WP,X,BP,WP,WP,X,BH,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,X,BR,X,X,BK,X,BQB,X,BR",-17.98587899092136
"WR,X,WKB,X,X,BKB,X,X,WH,WP,X,WP,WQ,X,X,X,WP,X,X,X,WP,X,X,X,X,BP,WQB,WK,BP,WP,X,WR,BP,X,X,WP,X,BP,WP,WP,X,BH,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,X,BR,X,X,BK,X,BQB,X,BR",-16.35079908265578
"WR,X,WKB,X,X,BKB,X,X,WH,WP,X,WP,WQ,WP,X,X,WP,X,X,X,WP,X,X,X,X,BP,WQB,WK,BP,X,X,WR,BP,X,X,WP,X,BP,WP,WP,X,BH,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,X,BR,X,X,BK,X,BQB,X,BR",-14.864362802414345
"WR,X,WKB,X,X,BKB,X,X,WH,WP,X,WP,WQ,WP,X,X,WP,X,X,X,WP,X,X,X,X,BP,WQB,WK,BP,X,X,WR,BP,X,X,WP,X,BP,WP,WP,X,X,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,X,BR,X,BH,BK,X,BQB,X,BR",-13.51305709310395
"WR,X,WKB,X,X,BKB,X,X,X,WP,X,WP,WQ,WP,X,X,WP,X,WH,X,WP,X,X,X,X,BP,WQB,WK,BP,X,X,WR,BP,X,X,WP,X,BP,WP,WP,X,X,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,X,BR,X,BH,BK,X,BQB,X,BR",-12.284597357367225
"WR,X,WKB,X,X,BKB,X,X,X,WP,X,WP,WQ,WP,X,X,WP,X,WH,X,WP,X,X,X,X,BP,WQB,WK,BP,X,X,WR,BP,X,X,WP,X,BP,WP,WP,X,X,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,BR,BR,X,BH,BK,X,BQB,X,X",-11.16781577942475
"WR,X,WKB,X,X,BKB,X,X,X,WP,X,WP,WQ,WP,X,X,WP,X,WH,WK,WP,X,X,X,X,BP,WQB,X,BP,X,X,WR,BP,X,X,WP,X,BP,WP,WP,X,X,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,BR,BR,X,BH,BK,X,BQB,X,X",-10.152559799477045
"WR,X,WKB,X,X,BKB,X,X,X,WP,X,WP,WQ,WP,X,X,WP,X,WH,WK,WP,X,X,X,X,BP,WQB,X,X,X,X,WR,BP,X,X,WP,BP,BP,WP,WP,X,X,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,BR,BR,X,BH,BK,X,BQB,X,X",-9.229599817706404
"WR,X,WKB,X,X,BKB,X,X,X,WP,X,WP,WQ,WP,X,WR,WP,X,WH,WK,WP,X,X,X,X,BP,WQB,X,X,X,X,X,BP,X,X,WP,BP,BP,WP,WP,X,X,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,BR,BR,X,BH,BK,X,BQB,X,X",-8.390545288824002
"WR,X,WKB,X,X,X,X,X,X,WP,X,WP,WQ,WP,X,WR,WP,X,WH,WK,WP,X,X,BKB,X,BP,WQB,X,X,X,X,X,BP,X,X,WP,BP,BP,WP,WP,X,X,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,BR,BR,X,BH,BK,X,BQB,X,X",-7.627768444385456
"WR,X,WKB,X,X,X,X,X,X,WP,X,WP,WQ,WP,X,WR,WP,X,WH,WK,WP,X,X,BKB,X,BP,WQB,X,X,X,X,WP,BP,X,X,WP,BP,BP,WP,X,X,X,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,BR,BR,X,BH,BK,X,BQB,X,X",-6.934334949441324
"WR,X,WKB,X,X,X,X,X,X,WP,X,WP,WQ,WP,X,WR,WP,X,WH,WK,WP,X,X,BKB,X,BP,WQB,X,X,X,X,WP,BP,X,X,WP,BP,BP,WP,X,X,X,BQ,BH,X,X,X,BP,X,BH,BP,X,X,X,BP,BR,BR,X,X,BK,X,BQB,X,X",-6.303940863128475
"WR,WH,WKB,X,X,X,X,X,X,WP,X,WP,WQ,WP,X,WR,WP,X,X,WK,WP,X,X,BKB,X,BP,WQB,X,X,X,X,WP,BP,X,X,WP,BP,BP,WP,X,X,X,BQ,BH,X,X,X,BP,X,BH,BP,X,X,X,BP,BR,BR,X,X,BK,X,BQB,X,X",-5.730855330116795
"WR,WH,WKB,X,X,X,X,X,X,WP,X,WP,WQ,WP,X,WR,WP,X,X,WK,WP,X,X,BKB,X,BP,WQB,X,X,X,X,WP,X,X,X,WP,BP,BP,WP,X,X,X,BQ,BH,X,X,X,BP,BP,BH,BP,X,X,X,BP,BR,BR,X,X,BK,X,BQB,X,X",-5.209868481924359
"WR,WH,WKB,X,X,WQ,X,X,X,WP,X,WP,X,WP,X,WR,WP,X,X,WK,WP,X,X,BKB,X,BP,WQB,X,X,X,X,WP,X,X,X,WP,BP,BP,WP,X,X,X,BQ,BH,X,X,X,BP,BP,BH,BP,X,X,X,BP,BR,BR,X,X,BK,X,BQB,X,X",-4.73624407447669
"WR,WH,WKB,X,X,WQ,X,X,X,WP,X,WP,X,WP,X,WR,WP,X,X,WK,WP,X,X,BKB,X,BP,WQB,X,X,X,X,WP,X,X,X,WP,BP,X,WP,X,X,X,BQ,BH,X,X,X,BP,BP,BH,BP,X,X,BP,BP,BR,BR,X,X,BK,X,BQB,X,X",-4.305676431342445
"WR,WH,WKB,X,X,WQ,X,X,WP,WP,X,WP,X,WP,X,WR,X,X,X,WK,WP,X,X,BKB,X,BP,WQB,X,X,X,X,WP,X,X,X,WP,BP,X,WP,X,X,X,BQ,BH,X,X,X,BP,BP,BH,BP,X,X,BP,BP,BR,BR,X,X,BK,X,BQB,X,X",-3.9142513012204048
"WR,WH,WKB,X,X,WQ,X,X,WP,WP,X,WP,X,WP,X,WR,X,X,X,WK,WP,X,X,BKB,X,BP,WQB,X,X,X,X,WP,BH,X,X,WP,BP,X,WP,X,X,X,BQ,BH,X,X,X,BP,BP,X,BP,X,X,BP,BP,BR,BR,X,X,BK,X,BQB,X,X",-3.5584102738367314
"WR,WH,WKB,X,X,X,X,WQ,WP,WP,X,WP,X,WP,X,WR,X,X,X,WK,WP,X,X,BKB,X,BP,WQB,X,X,X,X,WP,BH,X,X,WP,BP,X,WP,X,X,X,BQ,BH,X,X,X,BP,BP,X,BP,X,X,BP,BP,BR,BR,X,X,BK,X,BQB,X,X",-3.2349184307606644
"WR,WH,WKB,X,X,X,X,WQ,WP,WP,X,WP,X,WP,X,WR,X,X,X,WK,WP,X,X,BKB,X,BP,WQB,X,X,X,X,WP,BH,X,X,WP,BP,X,WP,X,X,X,BQ,BH,X,X,X,BP,BP,X,BP,X,X,BP,BP,X,BR,X,X,BK,X,BQB,X,BR",-2.940834937055149
"WR,WH,WKB,X,WQ,X,X,X,WP,WP,X,WP,X,WP,X,WR,X,X,X,WK,WP,X,X,BKB,X,BP,WQB,X,X,X,X,WP,BH,X,X,WP,BP,X,WP,X,X,X,BQ,BH,X,X,X,BP,BP,X,BP,X,X,BP,BP,X,BR,X,X,BK,X,BQB,X,BR",-2.6734863064137717
"WR,WH,WKB,X,WQ,X,X,X,WP,WP,X,WP,X,WP,X,WR,X,X,X,WK,WP,X,X,WH,X,BP,WQB,X,X,X,X,WP,BH,X,X,WP,BP,X,WP,X,X,X,BQ,BH,X,X,X,BP,BP,X,BP,BKB,X,BP,BP,X,BR,X,X,BK,X,BQB,X,BR",-2.4304420967397924
"WR,WH,WKB,X,WQ,X,X,X,WP,WP,WK,WP,X,WP,X,WR,X,X,X,X,WP,X,X,WH,X,BP,WQB,X,X,X,X,WP,BH,X,X,WP,BP,X,WP,X,X,X,BQ,BH,X,X,X,BP,BP,X,BP,BKB,X,BP,BP,X,BR,X,X,BK,X,BQB,X,BR",-2.209492815217993
"WR,WH,WKB,X,WQ,X,X,X,WP,WP,WK,WP,X,WP,X,WR,X,X,X,X,WP,X,X,WH,X,BP,WQB,X,X,X,X,WP,BH,X,X,WP,BP,BH,WP,X,X,X,BQ,X,X,X,X,BP,BP,X,BP,BKB,X,BP,BP,X,BR,X,X,BK,X,BQB,X,BR",-2.008629832016357
"WR,WH,WKB,WK,WQ,X,X,X,WP,WP,X,WP,X,WP,X,WR,X,X,X,X,WP,X,X,WH,X,BP,WQB,X,X,X,X,WP,BH,X,X,WP,BP,BH,WP,X,X,X,BQ,X,X,X,X,BP,BP,X,BP,BKB,X,BP,BP,X,BR,X,X,BK,X,BQB,X,BR",-1.8260271200148699
"WR,WH,WKB,WK,WQ,X,X,X,WP,WP,X,WP,X,WP,X,WR,X,X,X,X,WP,X,X,WH,X,BP,WQB,X,X,X,X,WP,BH,X,X,WP,BP,BH,WP,X,X,X,BQ,X,X,X,X,X,BP,X,BP,BKB,X,BP,BP,BP,BR,X,X,BK,X,BQB,X,BR",-1.6600246545589725
"WR,WH,WKB,WK,WQ,X,X,WR,WP,WP,X,WP,X,WP,X,X,X,X,X,X,WP,X,X,WH,X,BP,WQB,X,X,X,X,WP,BH,X,X,WP,BP,BH,WP,X,X,X,BQ,X,X,X,X,X,BP,X,BP,BKB,X,BP,BP,BP,BR,X,X,BK,X,BQB,X,BR",-1.5091133223263384
"WR,WH,WKB,WK,WQ,X,X,WR,WP,WP,X,WP,X,WP,X,X,X,X,X,X,WP,X,X,WH,X,X,WQB,X,X,X,X,WP,BH,BP,X,WP,BP,BH,WP,X,X,X,BQ,X,X,X,X,X,BP,X,BP,BKB,X,BP,BP,BP,BR,X,X,BK,X,BQB,X,BR",-1.371921202114853
"WR,WH,WKB,WK,WQ,X,X,WR,WP,WP,X,WP,X,WP,X,WP,X,X,X,X,WP,X,X,WH,X,X,WQB,X,X,X,X,X,BH,BP,X,WP,BP,BH,WP,X,X,X,BQ,X,X,X,X,X,BP,X,BP,BKB,X,BP,BP,BP,BR,X,X,BK,X,BQB,X,BR",-1.2472010928316846
"WR,WH,WKB,WK,WQ,X,X,WR,WP,WP,X,WP,X,WP,X,WP,X,X,X,X,WP,X,X,WH,X,X,WQB,X,X,X,X,X,BH,BP,X,WP,BP,X,WP,X,X,X,BQ,X,X,X,X,X,BP,X,BP,BKB,BH,BP,BP,BP,BR,X,X,BK,X,BQB,X,BR",-1.1338191753015314
"WR,WH,WKB,WK,WQ,X,X,WR,WP,WP,X,WP,X,WP,X,WP,X,X,X,X,WP,X,X,WH,X,X,WQB,X,X,X,WP,X,BH,BP,X,WP,BP,X,X,X,X,X,BQ,X,X,X,X,X,BP,X,BP,BKB,BH,BP,BP,BP,BR,X,X,BK,X,BQB,X,BR",-1.030744704819574
"WR,WH,WKB,WK,WQ,X,X,WR,WP,WP,X,WP,X,WP,X,WP,X,X,X,X,WP,X,X,WH,X,X,WQB,X,X,X,WP,X,BH,BP,X,WP,BP,X,X,X,X,X,BQ,X,X,X,X,X,BP,X,BP,BKB,X,BP,BP,BP,BR,X,X,BK,X,BQB,BH,BR",-0.9370406407450671
"WR,WH,WKB,WK,WQ,WQB,X,WR,WP,WP,X,WP,X,WP,X,WP,X,X,X,X,WP,X,X,WH,X,X,X,X,X,X,WP,X,BH,BP,X,WP,BP,X,X,X,X,X,BQ,X,X,X,X,X,BP,X,BP,BKB,X,BP,BP,BP,BR,X,X,BK,X,BQB,BH,BR",-0.8518551279500609
