,weight
"X,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,X,WK,X,X,X,BP,X,X,BH,X,WKB,X,X,X,X,X,X,WP,X,BP,X,X,BKB,X,WP,BP,BR,X,X,X,X,X,X,BH,X,X,X,BK,X,X,X,X,X,X,X,X,X,X,X",-13.51305709310395
"X,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,X,WK,X,X,X,BP,X,X,BH,X,WKB,X,X,X,X,WP,X,WP,X,BP,X,X,BKB,X,BP,BP,BR,X,X,X,X,X,X,BH,X,X,X,BK,X,X,X,X,X,X,X,X,X,X,X",-12.284597357367225
"X,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,X,WK,X,X,X,BP,X,X,BH,X,WKB,X,X,X,X,WP,X,WP,X,BP,X,X,BKB,X,BP,BP,BR,X,X,X,X,X,X,X,X,X,X,BK,X,X,X,X,X,BH,X,X,X,X,X",-11.16781577942475
"X,X,X,X,X,X,X,X,WK,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,WKB,X,X,X,X,WP,X,WP,X,BP,X,X,BKB,X,BP,BP,BR,X,X,X,X,X,X,X,X,X,X,BK,X,X,X,X,X,BH,X,X,X,X,X",-10.152559799477045
"X,X,X,X,X,X,X,X,WK,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,WKB,X,X,X,X,WP,X,WP,X,BP,X,X,BKB,X,BP,BP,X,BR,X,X,X,X,X,X,X,X,X,BK,X,X,X,X,X,BH,X,X,X,X,X",-9.229599817706404
"X,X,X,X,X,X,X,X,X,WK,BP,X,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,WKB,X,X,X,X,WP,X,WP,X,BP,X,X,BKB,X,BP,BP,X,BR,X,X,X,X,X,X,X,X,X,BK,X,X,X,X,X,BH,X,X,X,X,X",-8.390545288824002
"X,X,X,X,X,X,X,X,X,WK,BP,X,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,WKB,X,X,X,X,WP,X,WP,X,BP,X,X,BKB,X,BP,BP,X,BR,BH,X,X,X,X,X,X,X,X,BK,X,X,X,X,X,X,X,X,X,X,X",-7.627768444385456
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,WKB,X,X,X,X,WP,X,WP,X,BP,X,X,BKB,X,BP,BP,X,BR,BH,X,X,X,X,X,X,X,X,BK,X,X,X,X,X,X,X,X,X,X,X",-6.934334949441324
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,WKB,X,X,X,X,WP,X,WP,X,BP,X,X,BKB,X,BP,BP,X,BR,X,X,X,X,X,X,BH,X,X,BK,X,X,X,X,X,X,X,X,X,X,X",-6.303940863128475
"X,X,WK,X,X,X,X,X,X,X,BP,WKB,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,X,X,X,X,X,WP,X,WP,X,BP,X,X,BKB,X,BP,BP,X,BR,X,X,X,X,X,X,BH,X,X,BK,X,X,X,X,X,X,X,X,X,X,X",-5.730855330116795
"X,X,WK,X,X,X,X,X,X,X,BP,WKB,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,X,X,X,X,X,WP,X,WP,X,BP,X,X,BKB,X,BP,BP,BR,X,X,X,X,X,X,X,BH,X,X,BK,X,X,X,X,X,X,X,X,X,X,X",-5.209868481924359
"X,X,WK,X,WKB,X,X,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,X,X,X,X,X,WP,X,WP,X,BP,X,X,BKB,X,BP,BP,BR,X,X,X,X,X,X,X,BH,X,X,BK,X,X,X,X,X,X,X,X,X,X,X",-4.73624407447669
"X,X,WK,X,WKB,X,X,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,X,X,X,X,X,WP,X,WP,X,BP,X,X,BKB,X,BP,BP,X,X,X,X,BR,X,X,X,BH,X,X,BK,X,X,X,X,X,X,X,X,X,X,X",-4.305676431342445
"X,X,WK,X,WKB,X,X,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,BH,X,X,X,X,X,X,X,X,WP,X,BP,X,X,BKB,X,BP,BP,X,X,X,X,BR,X,X,X,BH,X,X,BK,X,X,X,X,X,X,X,X,X,X,X",-3.9142513012204048
"X,X,WK,X,WKB,X,X,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,BH,X,X,X,X,X,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,X,BR,BKB,X,X,BH,X,X,BK,X,X,X,X,X,X,X,X,X,X,X",-3.5584102738367314
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,X,X,X,X,WKB,X,BP,X,WP,BH,X,X,X,X,X,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,X,BR,BKB,X,X,BH,X,X,BK,X,X,X,X,X,X,X,X,X,X,X",-3.2349184307606644
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,X,X,X,X,WKB,X,BP,X,WP,BH,X,X,X,X,X,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,X,BR,BKB,X,X,BH,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",-2.940834937055149
"X,X,WK,X,X,X,X,X,X,WKB,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,BH,X,X,X,X,X,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,X,BR,BKB,X,X,BH,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",-2.6734863064137717
"X,X,WK,X,X,X,X,X,X,WKB,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,BH,X,X,X,X,X,X,X,X,WP,X,BP,X,X,X,X,BP,BP,BR,X,X,X,X,BKB,X,X,BH,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",-2.4304420967397924
